step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
352,173184,2816,0.0227866131543775,1.0,1.0,,,,,,,,,
353,173704,2824,0.023156175613027238,1.0,1.0,0.02312428328906916,1.0,1.0,,,,,,
354,174224,2832,0.021381731739207054,0.875,0.9736842105263158,,,,,,,,,
355,174680,2840,0.026213748412892972,1.0,1.0,,,,,,,,,
356,175264,2848,0.024230364335504746,0.875,0.9428571428571428,,,,,,,,,
357,175784,2856,0.0169777238933466,1.0,1.0,,,,,,,,,
358,176304,2864,0.026242010795798246,1.0,1.0,,,,,,,,,
359,176760,2872,0.01994671491093054,1.0,1.0,,,,,,,,,
360,177280,2880,0.02267303766710685,1.0,1.0,,,,,,,,,
361,177736,2888,0.023346688680004963,1.0,1.0,0.022775304670081604,1.0,1.0,,,,,,
362,178256,2896,0.023855818810797843,1.0,1.0,,,,,,,,,
363,178648,2904,0.024518737136893166,1.0,1.0,,,,,,,,,
364,179232,2912,0.019882188184388316,1.0,1.0,,,,,,,,,
365,179624,2920,0.024900042097531744,1.0,1.0,,,,,,,,,
366,180208,2928,0.016047523352957463,1.0,1.0,,,,,,,,,
367,180728,2936,0.02075316024523244,1.0,1.0,,,,,,,,,
368,181184,2944,0.01961735154792349,1.0,1.0,,,,,,,,,
369,181704,2952,0.022114905111667943,0.875,0.9736842105263158,0.022192241442365177,1.0,1.0,,,,,,
370,182224,2960,0.020835695899923998,1.0,1.0,,,,,,,,,
371,182680,2968,0.02557831754589126,1.0,1.0,,,,,,,,,
372,183200,2976,0.019018977479316548,1.0,1.0,,,,,,,,,
